protocol,model,model_label,threshold_idr,true_exceed_rate,false_safe_rate,conditional_miss_eventequal,conditional_miss_pooled,conditional_miss_event_mean,n_unsafe_rows,n_events_with_unsafe
main event-held-out,ridge_direct,Ridge direct,0.015,0.0099987809809238,0.0001217532467532,0.012176809051572111,0.019148936170212766,0.09,470,5
main event-held-out,scratch_mlp,MLP scratch,0.015,0.0099987809809238,0.0009541351505637,0.09542514756389296,0.1,0.10800699300699299,470,5
main event-held-out,xgb_direct,XGB direct,0.015,0.0099987809809238,0.0019472789115646,0.19475163175188268,0.2148936170212766,0.29744755244755244,470,5
main event-held-out,hgb_direct,HGB direct,0.02,0.0033820346320346,0.0010262059369202,0.3034285714285676,0.30625,0.5178571428571429,160,2
main event-held-out,lgbm_direct,LGBM direct,0.02,0.0033820346320346,0.0009421382189239,0.27857142857142136,0.28125,0.48214285714285715,160,2
main event-held-out,pretrained_finetune,MLP finetune,0.02,0.0033820346320346,0.000101461038961,0.029999999999988765,0.03125,0.125,160,2
main event-held-out,rf_direct,RF direct,0.02,0.0033820346320346,0.0009798237476808,0.28971428571426167,0.29375,0.5964285714285714,160,2
main event-held-out,ridge_direct,Ridge direct,0.02,0.0033820346320346,0.0,0.0,0.0,0.0,160,2
main event-held-out,scratch_mlp,MLP scratch,0.02,0.0033820346320346,0.0004667207792207,0.1379999999999779,0.1375,0.1,160,2
main event-held-out,xgb_direct,XGB direct,0.02,0.0033820346320346,0.0010242733457019,0.3028571428571407,0.30625,0.5607142857142857,160,2
main event-held-out,hgb_direct,HGB direct,0.03,0.0008503401360544,0.000595238095238,0.6999999999999059,0.7,0.7,40,1
main event-held-out,lgbm_direct,LGBM direct,0.03,0.0008503401360544,0.0007653061224489,0.8999999999999293,0.9,0.9,40,1
main event-held-out,pretrained_finetune,MLP finetune,0.03,0.0008503401360544,0.0,0.0,0.0,0.0,40,1
main event-held-out,rf_direct,RF direct,0.03,0.0008503401360544,0.0007227891156462,0.8499999999999529,0.85,0.85,40,1
main event-held-out,ridge_direct,Ridge direct,0.03,0.0008503401360544,0.0,0.0,0.0,0.0,40,1
main event-held-out,scratch_mlp,MLP scratch,0.03,0.0008503401360544,0.0001488095238095,0.17499999999997648,0.175,0.175,40,1
main event-held-out,xgb_direct,XGB direct,0.03,0.0008503401360544,0.0005102040816326,0.5999999999999529,0.6,0.6,40,1
main event-held-out,hgb_direct,HGB direct,0.04,0.0002125850340136,0.0002125850340136,1.0,1.0,1.0,10,1
main event-held-out,lgbm_direct,LGBM direct,0.04,0.0002125850340136,0.0002125850340136,1.0,1.0,1.0,10,1
main event-held-out,pretrained_finetune,MLP finetune,0.04,0.0002125850340136,0.0,0.0,0.0,0.0,10,1
main event-held-out,rf_direct,RF direct,0.04,0.0002125850340136,0.0002125850340136,1.0,1.0,1.0,10,1
main event-held-out,ridge_direct,Ridge direct,0.04,0.0002125850340136,0.0,0.0,0.0,0.0,10,1
main event-held-out,scratch_mlp,MLP scratch,0.04,0.0002125850340136,6.377551020408162e-05,0.30000000000000765,0.3,0.3,10,1
main event-held-out,xgb_direct,XGB direct,0.04,0.0002125850340136,0.0001700680272108,0.7999999999996236,0.8,0.8,10,1
