model_label,rep,family,false_safe_rate,false_safe_rate_q95_event,false_unsafe_rate,coverage,true_exceed_rate,event_count
MLP scratch,4,6F soft-first-story T=1.8s,0.00625,0.03249999999999997,0.03134057971014492,0.6069190546772069,0.008333333333333333,8
MLP scratch,4,6F uniform T=1.8s,0.0,0.0,0.012228260869565218,0.6483736824769433,0.0,8
MLP scratch,5,3F soft-first-story T=1.8s,0.013971920289855073,0.06016304347826085,0.020878623188405797,0.5687911725955204,0.03903985507246377,8
MLP scratch,5,3F uniform T=1.8s,0.008333333333333333,0.04333333333333329,0.019519927536231885,0.6663002305665349,0.024003623188405796,8
MLP scratch,5,6F soft-first-story T=1.8s,0.008333333333333333,0.038333333333333316,0.02653985507246377,0.6022994894598156,0.008333333333333333,8
MLP scratch,5,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.6727869729907774,0.0,8
MLP scratch,6,3F soft-first-story T=1.8s,0.009895833333333333,0.05020833333333329,0.037069746376811596,0.6203248517786562,0.03903985507246377,8
MLP scratch,6,3F uniform T=1.8s,0.011571557971014492,0.05094202898550722,0.019429347826086955,0.6822175559947299,0.024003623188405796,8
MLP scratch,6,6F soft-first-story T=1.8s,0.0067708333333333336,0.03395833333333331,0.035416666666666666,0.6587162384716733,0.008333333333333333,8
MLP scratch,6,6F uniform T=1.8s,0.0,0.0,0.010869565217391304,0.6769721673254282,0.0,8
MLP scratch,7,3F soft-first-story T=1.8s,0.013858695652173913,0.05749999999999997,0.020267210144927536,0.5241003787878787,0.03903985507246377,8
MLP scratch,7,3F uniform T=1.8s,0.008333333333333333,0.04333333333333329,0.03206521739130434,0.5893260046113307,0.024003623188405796,8
MLP scratch,7,6F soft-first-story T=1.8s,0.007291666666666667,0.035416666666666645,0.023618659420289855,0.6033082180500658,0.008333333333333333,8
MLP scratch,7,6F uniform T=1.8s,0.0,0.0,0.021739130434782608,0.6025259387351779,0.0,8
MLP scratch,8,3F soft-first-story T=1.8s,0.010416666666666666,0.051666666666666625,0.019519927536231885,0.6507905138339921,0.03903985507246377,8
MLP scratch,8,3F uniform T=1.8s,0.008333333333333333,0.04333333333333329,0.01514945652173913,0.6955430665349144,0.024003623188405796,8
MLP scratch,8,6F soft-first-story T=1.8s,0.00625,0.03249999999999997,0.026019021739130437,0.7066514328063241,0.008333333333333333,8
MLP scratch,8,6F uniform T=1.8s,0.0,0.0,0.02006340579710145,0.7342864789196311,0.0,8
MLP scratch,9,3F soft-first-story T=1.8s,0.009375,0.04874999999999996,0.02776268115942029,0.7504158432147563,0.03903985507246377,8
MLP scratch,9,3F uniform T=1.8s,0.008333333333333333,0.04333333333333329,0.04010416666666666,0.7251379281949935,0.024003623188405796,8
MLP scratch,9,6F soft-first-story T=1.8s,0.007291666666666667,0.035416666666666645,0.03249547101449275,0.7076313405797101,0.008333333333333333,8
MLP scratch,9,6F uniform T=1.8s,0.0,0.0,0.02382246376811594,0.7255743577075099,0.0,8
Ridge direct,0,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.1331521739130435,0.48518404150197625,0.03903985507246377,8
Ridge direct,0,3F uniform T=1.8s,0.0,0.0,0.1208786231884058,0.5287919960474308,0.024003623188405796,8
Ridge direct,0,6F soft-first-story T=1.8s,0.0,0.0,0.1230072463768116,0.462693511198946,0.008333333333333333,8
Ridge direct,0,6F uniform T=1.8s,0.0,0.0,0.10194746376811593,0.36185359025032937,0.0,8
Ridge direct,1,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.14200634057971015,0.4904582509881423,0.03903985507246377,8
Ridge direct,1,3F uniform T=1.8s,0.0,0.0,0.1271286231884058,0.5475419960474308,0.024003623188405796,8
Ridge direct,1,6F soft-first-story T=1.8s,0.0,0.0,0.12456974637681159,0.5030344202898551,0.008333333333333333,8
Ridge direct,1,6F uniform T=1.8s,0.0,0.0,0.10507246376811594,0.4253046772068511,0.0,8
Ridge direct,2,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.14044384057971016,0.47267374835309617,0.03903985507246377,8
Ridge direct,2,3F uniform T=1.8s,0.0,0.0,0.11983695652173913,0.5470211627140975,0.024003623188405796,8
Ridge direct,2,6F soft-first-story T=1.8s,0.0,0.0,0.1292572463768116,0.49682147562582346,0.008333333333333333,8
Ridge direct,2,6F uniform T=1.8s,0.0,0.0,0.09882246376811595,0.4499650032938076,0.0,8
Ridge direct,3,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.14148550724637682,0.5178915513833992,0.03903985507246377,8
Ridge direct,3,3F uniform T=1.8s,0.0,0.0,0.12348278985507247,0.550780220685112,0.024003623188405796,8
Ridge direct,3,6F soft-first-story T=1.8s,0.0,0.0,0.13550724637681158,0.4977684453227932,0.008333333333333333,8
Ridge direct,3,6F uniform T=1.8s,0.0,0.0,0.11184329710144927,0.45585268445322796,0.0,8
Ridge direct,4,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.13471467391304348,0.5124464756258235,0.03903985507246377,8
Ridge direct,4,3F uniform T=1.8s,0.0,0.0,0.12192028985507247,0.5610836627140975,0.024003623188405796,8
Ridge direct,4,6F soft-first-story T=1.8s,0.0,0.0,0.1230072463768116,0.5113574604743083,0.008333333333333333,8
Ridge direct,4,6F uniform T=1.8s,0.0,0.0,0.0967391304347826,0.46823945981554677,0.0,8
Ridge direct,5,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.15919384057971014,0.42182147562582345,0.03903985507246377,8
Ridge direct,5,3F uniform T=1.8s,0.0,0.0,0.13858695652173914,0.480467720685112,0.024003623188405796,8
Ridge direct,5,6F soft-first-story T=1.8s,0.0,0.0,0.13550724637681158,0.4425601119894598,0.008333333333333333,8
Ridge direct,5,6F uniform T=1.8s,0.0,0.0,0.12382246376811595,0.43988801054018445,0.0,8
Ridge direct,6,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.12533967391304346,0.5444972826086957,0.03903985507246377,8
Ridge direct,6,3F uniform T=1.8s,0.0,0.0,0.1083786231884058,0.5767086627140975,0.024003623188405796,8
Ridge direct,6,6F soft-first-story T=1.8s,0.0,0.0,0.10269474637681159,0.547859025032938,0.008333333333333333,8
Ridge direct,6,6F uniform T=1.8s,0.0,0.0,0.08059329710144927,0.48315011528326746,0.0,8
Ridge direct,7,3F soft-first-story T=1.8s,0.005434782608695652,0.028260869565217367,0.1711050724637681,0.5231122364953886,0.03903985507246377,8
Ridge direct,7,3F uniform T=1.8s,0.0,0.0,0.14327445652173915,0.5681262351778656,0.024003623188405796,8
