protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss,beta_false_safe_cons,false_safe_ci95_hi,false_unsafe_rate_rel,eligible,fallback_workload
event-disjoint target,lgbm_direct,LGBM direct,0.0075,25,8,0.0354959239130434,0.0015896739130434,0.0296891983695652,0.0694310461956521,2.678372109884344,0.0036990489130434,0.0296891983695652,True,0.06359544836956521
event-disjoint target,lgbm_direct,LGBM direct,0.0075,50,8,0.0354959239130434,0.0015896739130434,0.0296891983695652,0.1091728940217391,2.678372109884344,0.0036990489130434,0.0296891983695652,True,0.06359544836956521
event-disjoint target,lgbm_direct,LGBM direct,0.0075,100,8,0.0354959239130434,0.0015896739130434,0.0296891983695652,0.188656589673913,2.678372109884344,0.0036990489130434,0.0296891983695652,True,0.06359544836956521
event-disjoint target,lgbm_direct,LGBM direct,0.01,1,8,0.0178442028985507,0.0031272644927536,0.0201856884057971,0.0233129528985507,2.445037811042834,0.0072418478260869,0.0201856884057971,False,0.0349026268115942
event-disjoint target,lgbm_direct,LGBM direct,0.01,2,8,0.0178442028985507,0.0031272644927536,0.0201856884057971,0.0264402173913043,2.445037811042834,0.0072418478260869,0.0201856884057971,False,0.0349026268115942
event-disjoint target,lgbm_direct,LGBM direct,0.01,5,8,0.0178442028985507,0.0031272644927536,0.0201856884057971,0.0358220108695652,2.445037811042834,0.0072418478260869,0.0201856884057971,False,0.0349026268115942
event-disjoint target,lgbm_direct,LGBM direct,0.01,10,8,0.0178442028985507,0.0031272644927536,0.0201856884057971,0.0514583333333333,2.445037811042834,0.0072418478260869,0.0201856884057971,False,0.0349026268115942
event-disjoint target,lgbm_direct,LGBM direct,0.01,25,8,0.0178442028985507,0.0031272644927536,0.0201856884057971,0.0983673007246376,2.445037811042834,0.0072418478260869,0.0201856884057971,False,0.0349026268115942
event-disjoint target,lgbm_direct,LGBM direct,0.01,50,8,0.0178442028985507,0.0031272644927536,0.0201856884057971,0.1765489130434782,2.445037811042834,0.0072418478260869,0.0201856884057971,False,0.0349026268115942
event-disjoint target,lgbm_direct,LGBM direct,0.01,100,8,0.0178442028985507,0.0031272644927536,0.0201856884057971,0.3329121376811594,2.445037811042834,0.0072418478260869,0.0201856884057971,False,0.0349026268115942
event-disjoint target,lgbm_direct,LGBM direct,0.015,1,8,0.0029211956521739,0.0010026041666666,0.014461616847826,0.0154642210144927,2.78586307616791,0.0026692708333333,0.014461616847826,True,0.0163802083333333
event-disjoint target,lgbm_direct,LGBM direct,0.015,2,8,0.0029211956521739,0.0010026041666666,0.014461616847826,0.0164668251811594,2.78586307616791,0.0026692708333333,0.014461616847826,True,0.0163802083333333
event-disjoint target,lgbm_direct,LGBM direct,0.015,5,8,0.0029211956521739,0.0010026041666666,0.014461616847826,0.0194746376811594,2.78586307616791,0.0026692708333333,0.014461616847826,True,0.0163802083333333
event-disjoint target,lgbm_direct,LGBM direct,0.015,10,8,0.0029211956521739,0.0010026041666666,0.014461616847826,0.0244876585144927,2.78586307616791,0.0026692708333333,0.014461616847826,True,0.0163802083333333
event-disjoint target,lgbm_direct,LGBM direct,0.015,25,8,0.0029211956521739,0.0010026041666666,0.014461616847826,0.0395267210144927,2.78586307616791,0.0026692708333333,0.014461616847826,True,0.0163802083333333
event-disjoint target,lgbm_direct,LGBM direct,0.015,50,8,0.0029211956521739,0.0010026041666666,0.014461616847826,0.0645918251811594,2.78586307616791,0.0026692708333333,0.014461616847826,True,0.0163802083333333
event-disjoint target,lgbm_direct,LGBM direct,0.015,100,8,0.0029211956521739,0.0010026041666666,0.014461616847826,0.1147220335144927,2.78586307616791,0.0026692708333333,0.014461616847826,True,0.0163802083333333
event-disjoint target,lgbm_direct,LGBM direct,0.02,1,8,0.0,0.0,0.0084918478260869,0.0084918478260869,4.753424308822899,0.0,0.0084918478260869,True,0.0084918478260869
event-disjoint target,lgbm_direct,LGBM direct,0.02,2,8,0.0,0.0,0.0084918478260869,0.0084918478260869,4.753424308822899,0.0,0.0084918478260869,True,0.0084918478260869
event-disjoint target,lgbm_direct,LGBM direct,0.02,5,8,0.0,0.0,0.0084918478260869,0.0084918478260869,4.753424308822899,0.0,0.0084918478260869,True,0.0084918478260869
event-disjoint target,lgbm_direct,LGBM direct,0.02,10,8,0.0,0.0,0.0084918478260869,0.0084918478260869,4.753424308822899,0.0,0.0084918478260869,True,0.0084918478260869
event-disjoint target,lgbm_direct,LGBM direct,0.02,25,8,0.0,0.0,0.0084918478260869,0.0084918478260869,4.753424308822899,0.0,0.0084918478260869,True,0.0084918478260869
event-disjoint target,lgbm_direct,LGBM direct,0.02,50,8,0.0,0.0,0.0084918478260869,0.0084918478260869,4.753424308822899,0.0,0.0084918478260869,True,0.0084918478260869
