q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,model,N,rep,subset
0.325755589194507,0.4444227567968997,0.5124233160408432,0.0008095561594202898,0.0020380434782608695,2.8722125627246866,0.12895720108695652,0.042328042328042326,0.03260869565217391,92,3,2992,8,ridge_direct,500,6,all
0.325755589194507,0.422657431558107,0.5631669960474308,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.14334239130434784,0.047619047619047616,0.039473684210526314,76,3,1496,8,ridge_direct,500,6,3-story
0.325755589194507,0.46517079558654223,0.46167963603425555,0.0,0.0,5.9978070150076865,0.11457201086956521,0.0,0.0,16,2,1496,8,ridge_direct,500,6,6-story
0.306912490616666,0.5099788429736206,0.49932013751646903,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.13589221014492753,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,500,7,all
0.306912490616666,0.49992436164790266,0.5104228425559947,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.14498414855072464,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,500,7,3-story
0.306912490616666,0.5198388915734977,0.4882174324769433,0.0,0.0,5.9978070150076865,0.12680027173913044,0.0,0.0,16,2,1496,8,ridge_direct,500,7,6-story
0.2978934430633457,0.4250668661014429,0.5262012104743083,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.10516304347826087,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,500,8,all
0.2978934430633457,0.40323598027166574,0.5602252140974967,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.11399456521739132,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,500,8,3-story
0.2978934430633457,0.44583004107950464,0.4921772068511199,0.0,0.0,5.9978070150076865,0.09633152173913044,0.0,0.0,16,2,1496,8,ridge_direct,500,8,6-story
0.2669485199918879,0.5391044394876459,0.401662858201581,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.13625452898550725,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,500,9,all
0.2669485199918879,0.5344180323570437,0.40273077239789196,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.1460258152173913,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,500,9,3-story
0.2669485199918879,0.5437504575098796,0.4005949440052701,0.0,0.0,5.9978070150076865,0.1264832427536232,0.0,0.0,16,2,1496,8,ridge_direct,500,9,6-story
0.2934245494446266,0.48257204015670757,0.4596307847496706,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.1197463768115942,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,0,all
0.2934245494446266,0.46716884434614253,0.5069880187747036,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.12701539855072463,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,0,3-story
0.2934245494446266,0.49749856156003464,0.41227355072463767,0.0,0.0,5.9978070150076865,0.11247735507246376,0.0,0.0,16,2,1496,8,ridge_direct,2000,0,6-story
0.300207559343923,0.48017852238614067,0.49158483613306986,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.12469429347826086,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,1,all
0.300207559343923,0.47079653724725284,0.5190001235177866,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.13456748188405795,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,1,3-story
0.300207559343923,0.489380677221599,0.46416954874835314,0.0,0.0,5.9978070150076865,0.11482110507246376,0.0,0.0,16,2,1496,8,ridge_direct,2000,1,6-story
0.2895006400523752,0.47935971686398104,0.49162034749670624,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.1220901268115942,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,2,all
0.2895006400523752,0.4704917088236755,0.5098474555335968,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.13014039855072465,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,2,3-story
0.2895006400523752,0.4880666227391603,0.47339323945981554,0.0,0.0,5.9978070150076865,0.11403985507246377,0.0,0.0,16,2,1496,8,ridge_direct,2000,2,6-story
0.2956854612526514,0.4887788974981997,0.5055732254611331,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.12807971014492753,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,3,all
0.2956854612526514,0.4744210429259985,0.5343358860342556,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.13248414855072463,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,3,3-story
0.2956854612526514,0.5027268595451402,0.47681056488801055,0.0,0.0,5.9978070150076865,0.12367527173913043,0.0,0.0,16,2,1496,8,ridge_direct,2000,3,6-story
0.3070862131217193,0.4589250392621869,0.513281764657444,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.11909533514492754,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,4,all
0.3070862131217193,0.4455333975962917,0.5367650691699605,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.12831748188405798,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,2000,4,3-story
0.3070862131217193,0.47193683364397854,0.48979846014492756,0.0,0.0,5.9978070150076865,0.1098731884057971,0.0,0.0,16,2,1496,8,ridge_direct,2000,4,6-story
0.289183790101994,0.5361978423573907,0.44618432971014493,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.1392776268115942,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,2000,5,all
