q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,protocol,featureset,rep,N,model
0.14416840289132393,0.16069888911309974,0.5986922554347825,0.0034420289855072463,0.006159420289855072,2.502876833679109,0.01682518115942029,0.23119392684610074,0.21739130434782608,92,3,2992,8,event-disjoint target,base,2,1000,lgbm_direct
0.12928469440621715,0.1572903946503041,0.6144459197957839,0.006046195652173913,0.013077445652173912,2.2239041871190066,0.016983695652173912,0.3761214630779848,0.43478260869565216,92,3,2992,8,event-disjoint target,base,2,1000,xgb_direct
0.28271002554853575,0.7858414261894662,0.6936244235836626,0.006929347826086956,0.018229166666666668,2.0917785130041606,0.03987771739130434,0.3941798941798942,0.5434782608695652,92,3,2992,8,event-disjoint target,base,2,1000,scratch_mlp
0.2939181252019556,0.4860028086220753,0.5114732583992094,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.12443387681159421,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,2,2000,ridge_direct
0.1174926033789041,0.16356815252974938,0.5133527873847168,0.005264945652173913,0.010529891304347826,2.3069109922897626,0.014107789855072463,0.3326432022084196,0.3695652173913043,92,3,2992,8,event-disjoint target,base,2,2000,lgbm_direct
0.10391009375797289,0.15594433272720762,0.5137274580039526,0.004483695652173913,0.008763586956521739,2.3754582749226496,0.012228260869565218,0.2891649413388544,0.30434782608695654,92,3,2992,8,event-disjoint target,base,2,2000,xgb_direct
0.2193604779225904,0.3879937154953654,0.6377161561264822,0.0058367300724637685,0.013151041666666667,2.2217222291493135,0.029376132246376814,0.3601909362778928,0.43478260869565216,92,3,2992,8,event-disjoint target,base,2,2000,scratch_mlp
0.6684033619845782,0.6810891848834314,0.8553174407114625,0.0,0.0,5.9978070150076865,0.32085597826086953,0.0,0.0,92,3,2992,8,event-disjoint target,base,3,50,ridge_direct
0.9072557333817985,0.4638261102557848,0.8935276679841897,0.0,0.0,5.9978070150076865,0.9821557971014493,0.0,0.0,92,3,2992,8,event-disjoint target,base,3,50,lgbm_direct
0.5009503344407586,0.2888777707706349,0.8817523056653491,0.0015624999999999999,0.00390625,2.6600674686174592,0.06433423913043479,0.10950080515297907,0.13043478260869565,92,3,2992,8,event-disjoint target,base,3,50,xgb_direct
1.626703612143725,1.7269580332042938,0.8759284420289855,0.006329257246376812,0.017968750000000002,2.0976338780909223,0.7348104001976286,0.3452380952380953,0.5108695652173914,92,3,2992,8,event-disjoint target,base,3,50,scratch_mlp
