gm_id,event_id,event_title,event_page_url,zip_url,magnitude,file_name,station,component,problem_flag,structure_type,sample_rate_hz,dt_original_s,n_original,pga_original_g,pga_g,pgv_m_s,pgd_m,arias_m_s,cav_m_s,d5_95_s,tm_s,pgv_pga_s
21,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k202b_a.smc,K2-02,UP,-32768,-32768,200.0,0.005,64200,0.0067212028542303764,0.00671337406168371,0.013042226638919163,0.013557894899754553,0.001799026711536338,0.5340396773426428,35.62602647865761,1.1494373642989375,0.19803497102869294
22,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k202c_a.smc,K2-02,90,-32768,-32768,200.0,0.005,64200,0.010794087665647299,0.010724013301451953,0.03632460777435463,0.10943249679711944,0.006330977509398985,0.9845071510523976,34.599123410689934,0.8734891878964184,0.3452825116926128
23,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k203a_a.smc,K2-03,360,-32768,-32768,200.0,0.005,56000,0.009260754332313964,0.009241728271194443,0.018601162903505625,0.02620006769916555,0.005291420735742958,0.9058519589224803,32.096275293320176,0.9933965441618804,0.20517190636333887
24,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k203b_a.smc,K2-03,UP,-32768,-32768,200.0,0.005,56000,0.005420285423037717,0.005396564376073922,0.011146503685001438,0.012253607972223461,0.0018920128811619104,0.5393924243393275,37.58422526500707,1.0047886749698205,0.21054856915724837
25,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k203c_a.smc,K2-03,90,-32768,-32768,200.0,0.005,56000,0.008634760448521918,0.008633435614319784,0.02660905417254081,0.05331388516617516,0.00426240455495265,0.8281877274363145,35.25958789049698,1.0028774718845217,0.3141787270848412
26,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k204a_a.smc,K2-04,360,-32768,-32768,200.0,0.005,70200,0.011363914373088684,0.011425594399027066,0.039091483867239346,0.10013118142534273,0.008846055138789947,1.213106923574351,38.33787528364641,1.3905558009602932,0.3487661649479211
27,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k204b_a.smc,K2-04,UP,-32768,-32768,200.0,0.005,70200,0.007129969418960245,0.007117474380970119,0.015944442200980208,0.021396991028530335,0.0029947264331281536,0.696118200576973,34.75758078130301,1.3215727705428408,0.228357042927458
28,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k204c_a.smc,K2-04,90,-32768,-32768,200.0,0.005,70200,0.013529051987767585,0.013511930217329444,0.04110232700703133,0.04075788577738309,0.010392092318264698,1.2438335655090436,25.630394504803128,1.0984242455848268,0.31008446511646737
29,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k205a_a.smc,K2-05,360,-32768,-32768,200.0,0.005,69600,0.014901121304791029,0.014862652828116534,0.03254063922995562,0.03138477105667124,0.012497981859962714,1.4212538768911493,33.26359683490887,0.9068632234716812,0.22318280894271472
30,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k205b_a.smc,K2-05,UP,-32768,-32768,200.0,0.005,69600,0.007301732925586137,0.007301323699621417,0.017213853755089846,0.01288416347322031,0.002528895148037558,0.6266328165038682,32.69945169367844,0.8850715300343299,0.24032973000704325
