q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,partition_seed,rep,N,model,alpha
0.6305061003798889,0.26277526419933245,0.9858564066784175,0.0,0.0,5.9978070150076865,0.08874593003329417,0.0,0.0,28,1,1840,8,9101,0,500,scratch_mlp,0.025
0.4621315012801177,0.25217782999673805,0.9657728040540541,0.0,0.0,5.9978070150076865,0.03697855464159812,0.0,0.0,28,1,1840,8,9101,0,2000,ridge_direct,0.025
0.19481787537836626,0.14990486688739246,0.7454930473952213,0.0,0.0,5.9978070150076865,0.019682726204465335,0.0,0.0,28,1,1840,8,9101,0,2000,lgbm_direct,0.025
0.1850791989720708,0.1477214219121066,0.7133666274970623,0.0,0.0,5.9978070150076865,0.018324030552291422,0.0,0.0,28,1,1840,8,9101,0,2000,xgb_direct,0.025
0.31890314583947466,0.18816666520720013,0.9222841387583236,0.0,0.0,5.9978070150076865,0.04661794947121034,0.0,0.0,28,1,1840,8,9101,0,2000,scratch_mlp,0.025
0.5050134972685436,0.24123790867206904,0.9913657033392088,0.0,0.0,5.9978070150076865,0.042156286721504115,0.0,0.0,28,1,1840,8,9101,1,500,ridge_direct,0.025
0.31032333295146897,0.17368179706408604,0.9298951295045045,0.0,0.0,5.9978070150076865,0.054794604386995696,0.0,0.0,28,1,1840,8,9101,1,500,lgbm_direct,0.025
0.3167576412623152,0.1604942944626155,0.9635150435761849,0.0,0.0,5.9978070150076865,0.048836540344692515,0.0,0.0,28,1,1840,8,9101,1,500,xgb_direct,0.025
0.5052596100462954,0.21667467641008423,0.9854324263121818,0.0,0.0,5.9978070150076865,0.08139780405405406,0.0,0.0,28,1,1840,8,9101,1,500,scratch_mlp,0.025
0.44643260431881115,0.25338324253825,0.9422754786036036,0.0,0.0,5.9978070150076865,0.03655625734430082,0.0,0.0,28,1,1840,8,9101,1,2000,ridge_direct,0.025
0.22684049452401833,0.15450810643313992,0.7327231443399922,0.0,0.0,5.9978070150076865,0.024511603995299648,0.0,0.0,28,1,1840,8,9101,1,2000,lgbm_direct,0.025
0.20434168887389692,0.15427126762517288,0.6963183632001566,0.0,0.0,5.9978070150076865,0.021886016451233843,0.0,0.0,28,1,1840,8,9101,1,2000,xgb_direct,0.025
0.3262371788896372,0.20197406739132195,0.9202820517528397,0.0,0.0,5.9978070150076865,0.04088939482961222,0.0,0.0,28,1,1840,8,9101,1,2000,scratch_mlp,0.025
0.43315011759817157,0.2615578928410083,0.9044143838131609,0.0,0.0,5.9978070150076865,0.034178539952996474,0.0,0.0,28,1,1840,8,9101,2,500,ridge_direct,0.025
0.34032787984339974,0.15633424829963122,0.970860874461418,0.0,0.0,5.9978070150076865,0.05107884718958088,0.0,0.0,28,1,1840,8,9101,2,500,lgbm_direct,0.025
0.2944749587841682,0.15174620824171678,0.8986722116137877,0.0,0.0,5.9978070150076865,0.03766708284371328,0.0,0.0,28,1,1840,8,9101,2,500,xgb_direct,0.025
0.33247682334958983,0.2132386213057517,0.9043294653349001,0.0,0.0,5.9978070150076865,0.05453066857618488,0.0,0.0,28,1,1840,8,9101,2,500,scratch_mlp,0.025
0.4826511274475369,0.25645522513529606,0.9600999436936937,0.0,0.0,5.9978070150076865,0.03885135135135135,0.0,0.0,28,1,1840,8,9101,2,2000,ridge_direct,0.025
0.2290730021259728,0.1456619515119521,0.8156959949079514,0.0,0.0,5.9978070150076865,0.0264762044653349,0.0,0.0,28,1,1840,8,9101,2,2000,lgbm_direct,0.025
0.21759465273322132,0.1443028294525463,0.8266916372894634,0.0,0.0,5.9978070150076865,0.025117508813160987,0.0,0.0,28,1,1840,8,9101,2,2000,xgb_direct,0.025
0.31281907211800375,0.1856259300387203,0.8965429764003134,0.0,0.0,5.9978070150076865,0.0429641598119859,0.0,0.0,28,1,1840,8,9101,2,2000,scratch_mlp,0.025
0.47262202339160364,0.24893409421754614,0.9725395062181748,0.0,0.0,5.9978070150076865,0.034775264394829614,0.0,0.0,28,1,1840,8,9101,3,500,ridge_direct,0.025
0.30323585763897265,0.17043398475904517,0.9067533906188798,0.0,0.0,5.9978070150076865,0.037419212690951824,0.0,0.0,28,1,1840,8,9101,3,500,lgbm_direct,0.025
0.24153500432561303,0.16394549251185225,0.8216448785742264,0.0,0.0,5.9978070150076865,0.031745740305522914,0.0,0.0,28,1,1840,8,9101,3,500,xgb_direct,0.025
0.5042395892232476,0.23793172659046238,0.9749469068253036,0.0,0.0,5.9978070150076865,0.07917768311790051,0.0,0.0,28,1,1840,8,9101,3,500,scratch_mlp,0.025
0.46168909314808726,0.25997237615068847,0.9411176801801802,0.0,0.0,5.9978070150076865,0.03676740599294947,0.0,0.0,28,1,1840,8,9101,3,2000,ridge_direct,0.025
0.20490070815819417,0.14880063028110718,0.7238714257735996,0.0,0.0,5.9978070150076865,0.019939776733254994,0.0,0.0,28,1,1840,8,9101,3,2000,lgbm_direct,0.025
0.174542966156642,0.14468522217915228,0.6981994222483352,0.001358695652173913,0.004076086956521739,2.645701413211112,0.017993537015276145,0.14285714285714285,0.14285714285714285,28,1,1840,8,9101,3,2000,xgb_direct,0.025
0.32057568260006564,0.16729445525897166,0.9576712752154328,0.0,0.0,5.9978070150076865,0.04801336662749706,0.0,0.0,28,1,1840,8,9101,3,2000,scratch_mlp,0.025
0.47067457104396215,0.24591848120186005,0.9735390961613788,0.0,0.0,5.9978070150076865,0.03978774970622797,0.0,0.0,28,1,1840,8,9101,4,500,ridge_direct,0.025
0.2939179855928964,0.18733654536423267,0.8035674941245594,0.0,0.0,5.9978070150076865,0.04634789340971406,0.0,0.0,28,1,1840,8,9101,4,500,lgbm_direct,0.025
0.22880641125867296,0.1754100247101357,0.7014316796415981,0.00033967391304347825,0.0010190217391304348,3.0846317114179373,0.022225690364277323,0.03571428571428571,0.03571428571428571,28,1,1840,8,9101,4,500,xgb_direct,0.025
0.42889816975097483,0.21536409149360997,0.9653378072365844,0.0,0.0,5.9978070150076865,0.06495728065021543,0.0,0.0,28,1,1840,8,9101,4,500,scratch_mlp,0.025
0.45907124502144425,0.25250372063683263,0.9589069538288288,0.0,0.0,5.9978070150076865,0.03519756169212691,0.0,0.0,28,1,1840,8,9101,4,2000,ridge_direct,0.025
0.1982407275604332,0.14895758507204906,0.7465622551899727,0.001358695652173913,0.004076086956521739,2.645701413211112,0.017479435957696826,0.14285714285714285,0.14285714285714285,28,1,1840,8,9101,4,2000,lgbm_direct,0.025
0.17735185226248218,0.15639568036876159,0.6177774921660791,0.001358695652173913,0.004076086956521739,2.645701413211112,0.017993537015276145,0.14285714285714285,0.14285714285714285,28,1,1840,8,9101,4,2000,xgb_direct,0.025
0.31422894762329046,0.2117243894814113,0.8957384694477086,0.0,0.0,5.9978070150076865,0.047314893018018014,0.0,0.0,28,1,1840,8,9101,4,2000,scratch_mlp,0.025
0.3628743787521911,2.313103045176765,0.8058626234407484,0.01730769230769231,0.03461538461538462,1.8169108227999393,0.17844199367636868,0.30098684210526316,0.37857142857142856,280,4,4800,8,9102,0,500,ridge_direct,0.025
0.2084891696651976,0.18412377768360258,0.7812875736313236,0.00390625,0.01015625,2.3205248912297582,0.06737726308038808,0.15692934782608695,0.10714285714285714,280,4,4800,8,9102,0,500,lgbm_direct,0.025
0.12383579767356423,0.18761324844270846,0.5034071812196812,0.012219551282051282,0.023157051282051283,1.9925193654336242,0.010459979209979209,0.40076754385964913,0.29285714285714287,280,4,4800,8,9102,0,500,xgb_direct,0.025
0.44687714887637187,3.0419409314598695,0.7158730725918225,0.04528245192307692,0.09704527243589745,1.2985728952371713,0.05053545131670132,0.8439327485380117,0.9535714285714286,280,4,4800,8,9102,0,500,scratch_mlp,0.025
0.3419353672275731,2.453187776206131,0.7715444711538462,0.01971153846153846,0.044551282051282046,1.7001507991940092,0.1920905881843382,0.3207236842105263,0.42142857142857143,280,4,4800,8,9102,1,500,ridge_direct,0.025
0.19673621307598443,0.20384979360126343,0.688863154019404,0.013802083333333333,0.0265625,1.9339034489928568,0.03044817654192654,0.27745995423340963,0.30357142857142855,280,4,4800,8,9102,1,500,lgbm_direct,0.025
0.16579274754498385,0.19769315190617157,0.64099104513167,0.010927483974358975,0.01964142628205128,2.0612116501268285,0.0202088205994456,0.31883660691584037,0.25357142857142856,280,4,4800,8,9102,1,500,xgb_direct,0.025
0.448287944451049,2.5643426540325334,0.6826313452875953,0.03768028846153846,0.07645232371794872,1.4293465687042335,0.038814752252252255,0.7730034722222222,0.8142857142857143,280,4,4800,8,9102,1,500,scratch_mlp,0.025
0.3602669280227877,2.2050646909413665,0.7659167641198892,0.018709935897435897,0.0405849358974359,1.7439381705656125,0.2162568217255717,0.3125,0.4035714285714286,280,4,4800,8,9102,2,500,ridge_direct,0.025
0.21645680045362647,0.18645095353666855,0.7784489778239778,0.006209935897435897,0.012119391025641026,2.25332313548463,0.0523199281011781,0.12301558924485126,0.1357142857142857,280,4,4800,8,9102,2,500,lgbm_direct,0.025
0.15182262101971666,0.18081172750948518,0.6365781466562717,0.013251201923076923,0.024939903846153848,1.9609932724346504,0.015379472020097021,0.35924687738367655,0.3,280,4,4800,8,9102,2,500,xgb_direct,0.025
0.42800729037252827,1.8258269950812167,0.677428047037422,0.0356270032051282,0.07081330128205128,1.4697606036788946,0.0364219507969508,0.7120111476608187,0.7714285714285715,280,4,4800,8,9102,2,500,scratch_mlp,0.025
