p_false_safe,p_false_safe_upper95,beta_false_safe,beta_false_safe_cons,p_false_unsafe,p_false_unsafe_upper95,rmse_log,q_value_log,event_count,test_rows,analysis,model,model_label,target_label_budget,rep,interval_level
0.006567028985507246,0.013020833333333332,2.480113467344765,2.2255898502637645,0.016304347826086956,0.048913043478260865,0.1549883533108005,0.1380905391199491,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,0,0.9
0.0016191123188405796,0.004076086956521739,2.944169628560668,2.645701413211112,0.016247735507246376,0.044836956521739135,0.16126330995923216,0.1440865253362195,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,1,0.9
0.002660778985507246,0.0051177536231884055,2.786895846494273,2.567769903141709,0.010869565217391304,0.03260869565217391,0.1539279259193733,0.1346916606981794,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,2,0.9
0.0034420289855072463,0.006159420289855072,2.7024014928479474,2.5028768336791094,0.017663043478260868,0.05298913043478261,0.15329182497326269,0.1671451048154937,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,3,0.9
0.004483695652173913,0.008072916666666666,2.61329480761767,2.405602241453711,0.01191123188405797,0.03260869565217391,0.16864597595380867,0.1399410834609302,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,4,0.9
0.0063066123188405794,0.01171875,2.4945069781544653,2.2662268092096527,0.016304347826086956,0.048913043478260865,0.15978724678551587,0.1470840776475723,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,5,0.9
0.006567028985507246,0.013077445652173912,2.480113467344765,2.223904187119007,0.022305253623188408,0.059103260869565216,0.16014930557067245,0.1414249898580133,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,6,0.9
0.0034420289855072463,0.006159420289855072,2.7024014928479474,2.5028768336791094,0.01358695652173913,0.04076086956521739,0.15787470750221105,0.1382927894738053,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,7,0.9
0.0029211956521739127,0.005581974637681159,2.756498318773658,2.537524690793996,0.014628623188405796,0.04128170289855072,0.157569098828507,0.1447955127643312,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,8,0.9
0.0034420289855072463,0.006159420289855072,2.7024014928479474,2.5028768336791094,0.016983695652173912,0.050951086956521736,0.15409114515431643,0.1354233510511906,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,1000,9,0.9
0.00552536231884058,0.011514945652173914,2.541090705951305,2.2729384170207,0.011390398550724637,0.03260869565217391,0.16362907182369374,0.1256243677588204,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,0,0.9
0.006046195652173913,0.011514945652173914,2.5094366220887965,2.2729384170207,0.010869565217391304,0.03260869565217391,0.1576080575921584,0.1201903883689987,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,1,0.9
0.00396286231884058,0.007608695652173913,2.655217676011932,2.427163616442105,0.012228260869565218,0.036684782608695655,0.15768568746609413,0.1218818988019556,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,2,0.9
0.00396286231884058,0.0076086956521739125,2.655217676011932,2.427163616442105,0.014945652173913044,0.044836956521739135,0.1454034936365664,0.1231358482735016,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,3,0.9
0.005004528985507246,0.009692028985507245,2.5755162164077516,2.338061501429081,0.012228260869565218,0.036684782608695655,0.16006865886275093,0.1235591914687064,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,4,0.9
0.00474411231884058,0.008463541666666668,2.593942889326323,2.3882877355851475,0.012488677536231885,0.036684782608695655,0.1530210798559321,0.1216730819356697,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,5,0.9
0.004483695652173913,0.00859375,2.61329480761767,2.3826720148424148,0.012749094202898551,0.036684782608695655,0.155721000353206,0.1165243692414272,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,6,0.9
0.004483695652173913,0.008129528985507246,2.61329480761767,2.403047890720756,0.010869565217391304,0.03260869565217391,0.15242050081624944,0.1201466800009174,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,7,0.9
0.005004528985507246,0.009952445652173913,2.5755162164077516,2.3281358482063395,0.010869565217391304,0.03260869565217391,0.16192196421078794,0.1196457997306268,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,8,0.9
0.005004528985507246,0.009375,2.5755162164077516,2.350464423109078,0.009510869565217392,0.028532608695652176,0.15774071066213416,0.1180830013899676,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,2000,9,0.9
0.0015908061594202899,0.0034137228260869568,2.9496236491450123,2.705145601760343,0.04121376811594203,0.08138586956521739,0.3085340756117267,0.4253771061778499,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,0,0.9
0.0006793478260869565,0.0020380434782608695,3.203284752357333,2.872212562724687,0.18739809782608696,0.3564085144927536,0.49672784938694264,0.4785815436858842,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,1,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.2508095561594203,0.45080955615942025,0.7575739846356778,0.3977491603796408,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,2,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.32085597826086953,0.5328611865942029,0.6810891848834313,0.6684033619845784,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,3,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.27082767210144926,0.47043704710144923,0.8373069915521684,0.4326296397227582,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,4,0.9
0.0006000905797101449,0.0012794384057971014,3.2388370617337943,3.016290849381997,0.14635416666666667,0.25885416666666666,0.4568153044177588,0.3732800321002152,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,5,0.9
0.00013020833333333333,0.000390625,3.6517921053710007,3.3593537179343116,0.1563688858695652,0.2724281023550724,0.5015343680219411,0.4901204430856976,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,6,0.9
0.00033967391304347825,0.0010190217391304348,3.397780988142941,3.084631711417938,0.23093297101449275,0.41299337635869565,0.7875823336463731,0.4200484747476096,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,7,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.21980865036231884,0.39545969202898557,0.6044476624658469,0.4985474069605529,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,8,0.9
0.001358695652173913,0.004076086956521739,2.998020795641642,2.645701413211112,0.06182065217391304,0.11621942934782609,0.4396763605459187,0.4224324268192436,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,50,9,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.2358242753623188,0.4333503170289855,0.827626165350441,0.4319779263901093,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,0,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.1456465126811594,0.25930083786231883,0.31733729785408454,0.5220896445273184,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,1,0.9
0.00033967391304347825,0.0010190217391304348,3.397780988142941,3.084631711417938,0.12704370471014492,0.23537703804347826,0.4251288918364762,0.3602614135944386,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,2,0.9
0.0006793478260869565,0.0020380434782608695,3.203284752357333,2.872212562724687,0.06844429347826086,0.11939538043478261,0.27706994177257865,0.378128772092666,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,3,0.9
0.0016700634057971015,0.003708106884057971,2.934567699043261,2.6775529124589927,0.09394248188405796,0.20656702898550725,0.3839465264061867,0.3830322320692878,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,4,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.22419044384057968,0.4090927875905797,0.7476841708474846,0.3950828389445089,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,5,0.9
0.0022701539855072466,0.004540307971014493,2.837958540149586,2.6090040809275505,0.05211163949275363,0.10481770833333334,0.33935648701263327,0.2600034701532516,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,6,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.19316123188405798,0.3702445652173913,0.6225882573019189,0.3950483101913704,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,7,0.9
0.0009397644927536231,0.002139945652173913,3.1086363492414915,2.8567601389259654,0.20652173913043478,0.39740715579710145,0.9374712019321835,0.3279352522904299,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,8,0.9
0.0020097373188405795,0.004076086956521739,2.8766293149992745,2.645701413211112,0.0639945652173913,0.1378226902173913,0.35195653342114125,0.3242437771915387,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,100,9,0.9
0.0006793478260869565,0.0020380434782608695,3.203284752357333,2.872212562724687,0.1529211956521739,0.3058423913043478,0.5822277951188248,0.2645761765555274,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,250,0,0.9
0.002139945652173913,0.004483695652173913,2.8567601389259654,2.61329480761767,0.047061820652173916,0.10643682065217391,0.30538828318158845,0.2954095083900743,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,250,1,0.9
0.0015398550724637682,0.003102355072463768,2.959667719186776,2.7367623351758437,0.15253623188405796,0.3050724637681159,0.6069567937887965,0.2922299930183021,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,250,2,0.9
0.001358695652173913,0.004076086956521739,2.998020795641642,2.645701413211112,0.15931272644927538,0.304296875,0.5909928547253883,0.317276416612879,8,2992,true event-disjoint target-label budget,ridge_direct,Ridge direct,250,3,0.9
